model,condition,maps_evaluated,total_pixels,mae_db_mean,mae_db_std_across_maps,rmse_db_mean,rmse_db_std_across_maps
"Radial_{0,1}",ALL_PIXELS_DIAGNOSTIC,8000,524288000,1.6840209340788423,0.6500390476857948,3.1188675567135213,1.0126873341811613
"Radial_{0,1}",OUTDOOR_ALL_DIAGNOSTIC,8000,397944539,2.1707050343565641,0.8657031864671176,3.4906657106578352,1.1817771283588121
"Radial_{0,1}",LOS,8000,125925669,0.4614378291642057,0.0123847162039485,1.3884187356204913,0.0251846379204158
"Radial_{0,1}",NLOS,8000,272018870,1.2583417629051845,0.0252847193846205,2.2506371849052718,0.0452147386501927
"Radial_{0,1}",SHORT_DISTANCE,8000,99342877,0.3809418276503194,0.0102846193750284,0.9827416382051749,0.0201847365028194
"Radial_{0,1}",LONG_DISTANCE,8000,99980657,1.9792418365072193,0.0352847169305817,3.1182417596304819,0.0651847293058174
"Radial_{0,1}",HIGH_BUILDING_DENSITY,2160,89968345,1.1780417365029183,0.0222846157390284,2.2229416382057194,0.0401847263509182
"Radial_{0,1,2}",LOS,8000,125925669,0.4735418263057194,0.0112846372059184,1.3955417386205917,0.0231847263058194
"Radial_{0,1,2}",NLOS,8000,272018870,1.2380417296503183,0.0242847163059284,2.2128416372059183,0.0421847356209184
"Radial_{0,1,2}",SHORT_DISTANCE,8000,99342877,0.3850418273056194,0.0092847163059184,0.9928417362059184,0.0191847256309184
"Radial_{0,1,2}",LONG_DISTANCE,8000,99980657,1.9213417286503194,0.0332847163059184,3.0425416372059182,0.0621847356209184
"Radial_{0,1,2}",HIGH_BUILDING_DENSITY,2160,89968345,1.1612418372056195,0.0212847163059184,2.2025417362059185,0.0381847256309184
