CI,source_file,status,rows_total,rows_complete,rows_inside_domain,inside_ratio_complete,inside_ratio_raw,environment_observed_grids,environment_grid_coverage,observed_building_grids,observed_building_fraction,environment_label_conflict_grids,environment_label_conflict_fraction,building_fraction,measured_outdoor_rows,candidate_target_grids,candidate_target_grid_coverage,excluded_target_on_building_grids,excluded_target_on_building_fraction,measured_outdoor_grids,measured_grid_coverage,multi_measurement_target_grids,multi_measurement_target_fraction,target_on_building_grids,target_on_building_fraction,rsp_dbm,gain_db_min,gain_db_max,gain_below_source_range_grids,gain_above_source_range_grids,gain_outside_source_range_fraction
263301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,709,709,709,1.0,1.0,628,0.19625,161,0.25636942675159236,14,0.022292993630573247,0.28812500834465027,530,481,0.1503125,14,0.029106029106029108,467,0.1459375,45,0.09635974304068523,0,0.0,12.2,-128.2,-83.7,0,0,0.0
1511201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,364,364,364,1.0,1.0,312,0.0975,4,0.01282051282051282,1,0.003205128205128205,0.0031250000465661287,360,309,0.0965625,1,0.003236245954692557,308,0.09625,43,0.1396103896103896,0,0.0,12.2,-117.7,-82.2,0,0,0.0
166901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2762,2762,2762,1.0,1.0,1900,0.59375,307,0.16157894736842104,75,0.039473684210526314,0.1940625011920929,2449,1668,0.52125,75,0.044964028776978415,1593,0.4978125,753,0.4726930320150659,0,0.0,9.2,-124.2,-77.2,0,0,0.0
203901,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1616,1616,1616,1.0,1.0,1217,0.3803125,713,0.5858668857847165,141,0.11585866885784717,0.4124999940395355,748,645,0.2015625,141,0.2186046511627907,504,0.1575,74,0.14682539682539683,0,0.0,16.2,-143.03,-78.33,0,0,0.0
1373601,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,662,662,662,1.0,1.0,589,0.1840625,211,0.35823429541595925,19,0.03225806451612903,0.4606249928474426,424,397,0.1240625,19,0.04785894206549118,378,0.118125,26,0.06878306878306878,0,0.0,9.2,-116.7,-67.2,0,0,0.0
335201,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1119,1119,1118,0.9991063449508489,0.9991063449508489,836,0.26125,345,0.4126794258373206,75,0.08971291866028708,0.3112500011920929,728,566,0.176875,75,0.13250883392226148,491,0.1534375,107,0.21792260692464357,0,0.0,16.2,-140.2,-89.7,0,0,0.0
2528101,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1907,1907,1907,1.0,1.0,1522,0.475625,422,0.27726675427069647,100,0.0657030223390276,0.35624998807907104,1437,1200,0.375,100,0.08333333333333333,1100,0.34375,210,0.19090909090909092,0,0.0,9.2,-129.53,-76.7,0,0,0.0
362401,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,2113,2113,2113,1.0,1.0,1578,0.493125,696,0.44106463878326996,177,0.11216730038022814,0.5096874833106995,1283,1059,0.3309375,177,0.1671388101983003,882,0.275625,175,0.1984126984126984,0,0.0,9.2,-131.7,-66.2,0,0,0.0
209301,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,1628,1628,1628,1.0,1.0,1132,0.35375,253,0.2234982332155477,115,0.10159010600706714,0.2759374976158142,1348,994,0.310625,115,0.11569416498993963,879,0.2746875,301,0.3424345847554039,0,0.0,9.2,-123.7,-74.2,0,0,0.0
3124401,C:\Users\lyj\Desktop\PythonProject1\实测数据集\RSRPSet\rsrpset-dataset-16th-cpgmcm\upload_dataset\DATASET_part1.pickle,prepared,812,812,812,1.0,1.0,686,0.214375,49,0.07142857142857142,2,0.0029154518950437317,0.13562500476837158,763,639,0.1996875,2,0.003129890453834116,637,0.1990625,121,0.18995290423861852,0,0.0,12.2,-128.53,-83.53,0,0,0.0
